postcode,estimated_houses,apvi_pct,apvi_res_installs,apvi_res_capacity_kw,median_hhd_income_weekly,median_hhd_income_annual,cer_total_solar,total_battery_installs,solar_per_house,battery_per_house,battery_per_solar,income_decile,separate_house,semi_detached,flat_apartment,total_dwellings,pct_house,pct_apartment,owned_outright,owned_mortgage,renting_total,total_tenure,pct_owner,pct_renter,renter_house,owner_house
0800,36,,71.0,405.0,2151,111852,153,2,4.25,0.0555555555555555,0.0130718954248366,,16,3,2943,3653,0.4,80.6,220,439,2248,2984,22.1,75.3,7,10
0810,10534,40.0,4212.0,25325.0,2199,114348,0,196,0.0,0.0186064173153597,,9.0,7414,1320,2827,12613,58.8,22.4,2329,3664,5312,11637,51.5,45.6,2342,4878
0812,6185,37.9,2345.0,14049.0,2046,106392,0,101,0.0,0.0163298302344381,,8.0,4799,562,774,6623,72.5,11.7,1436,2487,2102,6211,63.2,33.8,1340,3335
0820,4773,29.4,1401.0,9633.0,2308,120016,0,101,0.0,0.0211606955793002,,9.0,2466,1668,3367,8510,29.0,39.6,1262,1783,4296,7581,40.2,56.7,835,1538
0822,8015,13.9,1118.0,8012.0,1347,70044,0,67,0.0,0.0083593262632563,,4.0,4708,329,86,6681,70.5,1.3,797,843,2997,5402,30.4,55.5,2573,1521
0828,960,40.2,386.0,2711.0,2250,117000,496,21,0.5166666666666667,0.021875,0.0423387096774193,9.0,253,124,7,474,53.4,1.5,71,166,146,421,56.3,34.7,71,169
0829,511,4.9,25.0,192.0,1412,73424,53,4,0.1037181996086105,0.0078277886497064,0.0754716981132075,5.0,31,0,0,116,26.7,0.0,43,10,41,108,49.1,38.0,10,25
0830,6334,40.0,2532.0,15231.0,2027,105404,0,98,0.0,0.0154720555730975,,8.0,4775,457,951,6805,70.2,14.0,757,2505,2751,6194,52.7,44.4,1733,2932
0832,6875,47.5,3267.0,20556.0,2352,122304,0,128,0.0,0.0186181818181818,,10.0,4571,703,840,6633,68.9,12.7,419,2766,2781,6116,52.1,45.5,1663,2795
0834,758,41.2,312.0,2362.0,2678,139256,341,23,0.449868073878628,0.0303430079155672,0.0674486803519061,10.0,557,0,3,659,84.5,0.5,179,270,107,590,76.1,18.1,95,436
0835,1391,43.4,604.0,4008.0,2560,133120,657,37,0.4723220704529116,0.0265995686556434,0.0563165905631659,10.0,962,14,3,1098,87.6,0.3,339,475,162,1016,80.1,15.9,140,790
0836,3135,46.8,1467.0,10389.0,2593,134836,0,62,0.0,0.0197767145135566,,10.0,2304,43,6,2761,83.4,0.2,537,1406,334,2369,82.0,14.1,306,1923
0837,317,21.8,69.0,476.0,1419,73788,70,1,0.2208201892744479,0.0031545741324921,0.0142857142857142,5.0,130,0,0,151,86.1,0.0,49,59,21,146,74.0,14.4,17,95
0838,496,29.2,145.0,1032.0,2183,113516,166,8,0.3346774193548387,0.0161290322580645,0.0481927710843373,9.0,243,5,0,299,81.3,0.0,72,135,46,269,77.0,17.1,36,200
0839,241,11.6,28.0,173.0,1426,74152,42,0,0.1742738589211618,0.0,0.0,5.0,25,49,102,245,10.2,41.6,42,20,154,218,28.4,70.6,10,10
0840,793,18.4,146.0,964.0,806,41912,151,13,0.1904161412358133,0.0163934426229508,0.086092715231788,1.0,178,0,0,459,38.8,0.0,117,45,13,192,84.4,6.8,14,156
0841,330,26.7,88.0,657.0,1550,80600,98,6,0.296969696969697,0.0181818181818181,0.0612244897959183,6.0,209,0,0,257,81.3,0.0,75,108,24,212,86.3,11.3,21,177
0845,322,23.9,77.0,436.0,900,46800,90,2,0.2795031055900621,0.0062111801242236,0.0222222222222222,1.0,115,24,3,196,58.7,1.5,32,28,71,143,42.0,49.7,51,47
0846,303,17.8,54.0,301.0,992,51584,58,2,0.1914191419141914,0.0066006600660066,0.0344827586206896,1.0,89,0,0,136,65.4,0.0,49,17,28,109,60.6,25.7,24,47
0847,170,14.1,24.0,146.0,1125,58500,25,1,0.1470588235294117,0.0058823529411764,0.04,2.0,70,9,3,131,53.4,2.3,28,13,44,91,45.1,48.4,33,34
0850,3650,26.8,978.0,5602.0,2027,105404,998,21,0.2734246575342465,0.0057534246575342,0.0210420841683366,8.0,1828,428,53,2876,63.6,1.8,383,631,1247,2438,41.6,51.1,809,920
0852,3446,8.4,288.0,1927.0,1331,69212,402,10,0.1166569936157864,0.0029019152640742,0.0248756218905472,4.0,1189,145,39,2037,58.4,1.9,224,94,960,1585,20.1,60.6,767,202
0853,219,0.5,1.0,3.0,2865,148980,2,0,0.0091324200913242,0.0,0.0,10.0,200,0,0,200,100.0,0.0,0,0,195,200,0.0,97.5,195,0
0854,373,3.8,14.0,89.0,1301,67652,20,0,0.0536193029490616,0.0,0.0,4.0,138,18,3,266,51.9,1.1,19,5,119,184,13.0,64.7,97,11
0860,1398,11.5,161.0,911.0,1677,87204,187,2,0.1337625178826895,0.0014306151645207,0.0106951871657754,6.0,758,108,53,1133,66.9,4.7,104,116,557,943,23.3,59.1,412,213
0862,388,27.8,108.0,826.0,1375,71500,167,0,0.4304123711340206,0.0,0.0,4.0,124,3,0,244,50.8,0.0,17,0,46,147,11.6,31.3,40,9
0870,8207,35.6,2922.0,15139.0,2174,113048,0,86,0.0,0.0104788595101742,,9.0,4511,2080,256,7938,56.8,3.2,1095,2557,3052,7028,52.0,43.4,1421,2929
0872,5853,3.5,203.0,1102.0,1213,63076,320,16,0.0546728173586195,0.0027336408679309,0.05,3.0,2582,332,126,4476,57.7,2.8,135,19,2349,3228,4.8,72.8,1924,95
0873,1600,10.8,173.0,1183.0,1783,92716,197,18,0.123125,0.01125,0.0913705583756345,7.0,577,67,46,912,63.3,5.0,198,259,321,829,55.1,38.7,184,367
0874,231,10.4,24.0,154.0,2221,115492,25,1,0.1082251082251082,0.0043290043290043,0.04,9.0,54,90,80,322,16.8,24.8,20,37,119,229,24.9,52.0,19,27
0875,1027,17.9,184.0,1108.0,2032,105664,183,5,0.178188899707887,0.0048685491723466,0.0273224043715847,8.0,610,249,0,954,63.9,0.0,83,352,381,855,50.9,44.6,231,353
0880,1635,2.0,32.0,196.0,2406,125112,48,3,0.0293577981651376,0.0018348623853211,0.0625,10.0,994,96,48,1423,69.9,3.4,45,20,779,1159,5.6,67.2,683,52
0885,287,2.8,8.0,57.0,3333,173316,31,0,0.1080139372822299,0.0,0.0,10.0,184,16,8,278,66.2,2.9,10,0,144,216,4.6,66.7,133,5
0886,659,0.6,4.0,21.0,2090,108680,13,1,0.0197268588770864,0.0015174506828528,0.0769230769230769,9.0,148,70,28,434,34.1,6.5,9,6,179,262,5.7,68.3,96,3
2000,479,5.8,28.0,142.0,2225,115700,83,3,0.1732776617954071,0.0062630480167014,0.036144578313253,9.0,24,233,11146,15345,0.2,72.6,1598,1286,8175,11492,25.1,71.1,16,8
2007,574,4.7,27.0,135.0,1805,93860,42,2,0.073170731707317,0.0034843205574912,0.0476190476190476,7.0,5,341,2556,3536,0.1,72.3,364,358,1994,2926,24.7,68.1,0,5
2008,1266,8.5,107.0,482.0,1746,90792,133,15,0.1050552922590837,0.0118483412322274,0.112781954887218,7.0,41,984,3455,5516,0.7,62.6,474,644,3330,4564,24.5,73.0,22,16
2009,311,6.8,21.0,94.0,2422,125944,36,1,0.1157556270096463,0.0032154340836012,0.0277777777777777,10.0,0,317,5233,6510,0.0,80.4,989,1004,3443,5583,35.7,61.7,0,0
2010,4349,6.0,263.0,1235.0,2297,119444,326,34,0.0749597608645665,0.0078178891699241,0.1042944785276073,9.0,131,3315,9565,15553,0.8,61.5,1978,2473,8417,13158,33.8,64.0,53,69
2011,1468,2.9,43.0,205.0,2041,106132,74,2,0.050408719346049,0.0013623978201634,0.027027027027027,8.0,34,949,8979,12652,0.3,71.0,1810,1581,6457,10068,33.7,64.1,12,28
2015,2319,13.8,319.0,1686.0,2607,135564,501,61,0.2160413971539456,0.026304441569642,0.1217564870259481,10.0,293,1555,3340,5861,5.0,57.0,646,1755,2775,5248,45.8,52.9,112,175
2016,2138,9.5,203.0,929.0,2145,111540,242,16,0.1131898971000935,0.0074836295603367,0.0661157024793388,9.0,82,1684,4011,6776,1.2,59.2,865,1201,3645,5889,35.1,61.9,32,48
2017,1542,8.3,128.0,612.0,2104,109408,191,8,0.1238651102464332,0.0051880674448767,0.0418848167539267,9.0,61,1071,12933,16547,0.4,78.2,946,2630,10116,14103,25.4,71.7,28,24
2018,2671,24.1,644.0,3890.0,2017,104884,711,116,0.2661924372894047,0.0434294271808311,0.1631504922644163,8.0,2018,319,5741,9121,22.1,62.9,1752,2033,4121,8159,46.4,50.5,344,1624
2019,2762,22.6,624.0,3888.0,2363,122876,779,114,0.2820419985517741,0.0412744388124547,0.1463414634146341,10.0,1324,1018,2565,5423,24.4,47.3,986,1981,1893,4957,59.9,38.2,194,1088
2020,2274,24.8,565.0,3326.0,2254,117208,656,108,0.2884784520668426,0.0474934036939313,0.1646341463414634,9.0,1704,320,6026,9146,18.6,65.9,1310,1978,4597,8105,40.6,56.7,315,1336
2021,4604,7.9,364.0,1815.0,2823,146796,414,48,0.0899218071242397,0.0104257167680278,0.1159420289855072,10.0,465,3441,2621,7690,6.0,34.1,1722,1635,3057,6586,51.0,46.4,87,365
2022,2816,16.7,471.0,2650.0,2484,129168,497,66,0.1764914772727272,0.0234375,0.1327967806841046,10.0,647,1481,3155,6332,10.2,49.8,1508,1195,2695,5559,48.6,48.5,107,527
2023,1716,24.8,425.0,3283.0,3315,172380,518,88,0.3018648018648018,0.0512820512820512,0.1698841698841698,10.0,1372,169,2489,4521,30.3,55.1,1436,1159,1347,4056,64.0,33.2,104,1234
2024,2236,28.7,642.0,3953.0,3197,166244,722,109,0.3228980322003578,0.0487477638640429,0.1509695290858725,10.0,1083,908,2164,4638,23.4,46.7,1206,1171,1691,4212,56.4,40.1,93,961
2025,1744,12.4,216.0,1290.0,3013,156676,252,28,0.1444954128440367,0.0160550458715596,0.1111111111111111,10.0,532,928,1506,3523,15.1,42.7,1064,723,1041,2988,59.8,34.8,53,453
