"postcode","installs","estimated_houses","density","capacity","capacity_Residential","capacity_Commercial","capacity_Power_Station","installs_Residential","installs_Commercial","installs_Power_Station","pot_kw","pot_sqm","pot_gwh"
"0800","149.0","36","","5414.0","405.0","4547.0","462.0","71.0","76.0","2.0","32376.0","207,209","48.4"
"0810","4384.0","10534","40.0","33890.0","25325.0","6826.0","1739.0","4212.0","169.0","3.0","198075.0","1,267,682","297.7"
"0812","2411.0","6185","37.9","17156.0","14049.0","2422.0","685.0","2345.0","63.0","3.0","101247.0","647,978","151.9"
"0820","1611.0","4773","29.4","28514.0","9633.0","8999.0","9882.0","1401.0","205.0","5.0","188975.0","1,209,440","286.2"
"0822","1354.0","8015","13.9","35543.0","8012.0","8175.0","19356.0","1118.0","222.0","14.0","140603.0","899,862","214.0"
"0828","476.0","960","40.2","6768.0","2711.0","4057.0","0.0","386.0","90.0","0.0","58001.0","371,208","88.4"
"0829","50.0","511","4.9","1441.0","192.0","1249.0","0.0","25.0","25.0","0.0","53328.0","341,300","80.8"
"0830","2636.0","6334","40.0","32876.0","15231.0","3655.0","13990.0","2532.0","95.0","9.0","123408.0","789,812","185.2"
"0832","3310.0","6875","47.5","22457.0","20556.0","1511.0","390.0","3267.0","42.0","1.0","86298.0","552,306","129.5"
"0834","338.0","758","41.2","2967.0","2362.0","605.0","0.0","312.0","26.0","0.0","20441.0","130,821","30.7"
"0835","638.0","1391","43.4","5066.0","4008.0","1058.0","0.0","604.0","34.0","0.0","41918.0","268,277","62.9"
"0836","1544.0","3135","46.8","12162.0","10389.0","1773.0","0.0","1467.0","77.0","0.0","79945.0","511,646","120.0"
"0837","75.0","317","21.8","728.0","476.0","252.0","0.0","69.0","6.0","0.0","8113.0","51,925","12.3"
"0838","159.0","496","29.2","1580.0","1032.0","548.0","0.0","145.0","14.0","0.0","9796.0","62,696","14.7"
"0839","42.0","241","11.6","1317.0","173.0","667.0","477.0","28.0","12.0","2.0","4218.0","26,996","6.3"
"0840","151.0","793","18.4","1064.0","964.0","100.0","0.0","146.0","5.0","0.0","6546.0","41,892","9.8"
"0841","95.0","330","26.7","1029.0","657.0","372.0","0.0","88.0","7.0","0.0","9994.0","63,963","15.2"
"0845","91.0","322","23.9","25808.0","436.0","325.0","25047.0","77.0","12.0","2.0","7270.0","46,528","11.1"
"0846","58.0","303","17.8","393.0","301.0","92.0","0.0","54.0","4.0","0.0","0.0","0","0.0"
"0847","27.0","170","14.1","304.0","146.0","158.0","0.0","24.0","3.0","0.0","0.0","0","0.0"
"0850","1076.0","3650","26.8","43582.0","5602.0","3949.0","34031.0","978.0","96.0","2.0","77527.0","496,170","123.1"
"0852","369.0","3446","8.4","6196.0","1927.0","3175.0","1094.0","288.0","78.0","3.0","8261.0","52,870","12.8"
"0853","2.0","219","0.5","53.0","3.0","50.0","0.0","1.0","1.0","0.0","14440.0","92,418","22.8"
"0854","20.0","373","3.8","263.0","89.0","174.0","0.0","14.0","6.0","0.0","5539.0","35,452","8.7"
"0860","180.0","1398","11.5","1709.0","911.0","798.0","0.0","161.0","19.0","0.0","29800.0","190,721","48.9"
"0862","128.0","388","27.8","1687.0","826.0","411.0","450.0","108.0","19.0","1.0","0.0","0","0.0"
"0870","3119.0","8207","35.6","24390.0","15139.0","7407.0","1844.0","2922.0","191.0","6.0","179322.0","1,147,661","294.6"
"0872","315.0","5853","3.5","8670.0","1102.0","3267.0","4301.0","203.0","101.0","11.0","734.0","4,696","1.2"
"0873","194.0","1600","10.8","2111.0","1183.0","630.0","298.0","173.0","20.0","1.0","32502.0","208,015","53.1"
"0874","25.0","231","10.4","194.0","154.0","40.0","0.0","24.0","1.0","0.0","3646.0","23,336","6.0"
"0875","193.0","1027","17.9","1404.0","1108.0","296.0","0.0","184.0","9.0","0.0","13650.0","87,362","22.3"
"0880","50.0","1635","2.0","12222.0","196.0","680.0","11346.0","32.0","15.0","3.0","0.0","0","0.0"
"0885","26.0","287","2.8","885.0","57.0","828.0","0.0","8.0","18.0","0.0","0.0","0","0.0"
"0886","12.0","659","0.6","8622.0","21.0","151.0","8450.0","4.0","7.0","1.0","10849.0","69,436","16.6"
"2000","81.0","479","5.8","3362.0","142.0","2198.0","1022.0","28.0","50.0","3.0","56265.0","360,097","72.1"
"2007","40.0","574","4.7","665.0","135.0","530.0","0.0","27.0","13.0","0.0","16683.0","106,772","21.4"
"2008","131.0","1266","8.5","1241.0","482.0","759.0","0.0","107.0","24.0","0.0","19225.0","123,041","24.7"
