Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
0800,0,0,0,0,0,1,0,0,0,1,0,2
0810,16,24,16,14,22,22,9,16,24,32,1,196
0812,19,8,10,6,14,11,4,9,8,12,0,101
0820,5,6,6,12,16,16,3,4,12,20,1,101
0822,7,5,4,4,6,9,3,4,5,18,2,67
0828,1,2,1,1,5,2,2,3,2,2,0,21
0829,0,0,0,1,0,0,0,0,0,3,0,4
0830,10,8,15,9,8,15,4,6,7,14,2,98
0832,15,9,14,11,6,16,8,15,13,21,0,128
0834,2,2,0,2,1,3,1,1,3,8,0,23
0835,2,1,3,1,4,4,2,3,7,9,1,37
0836,5,5,6,1,5,8,4,6,6,16,0,62
0837,0,1,0,0,0,0,0,0,0,0,0,1
0838,1,0,0,0,0,0,1,2,2,2,0,8
0840,1,4,2,1,1,1,0,1,0,2,0,13
0841,0,0,0,0,0,1,1,0,0,4,0,6
0845,0,0,0,0,2,0,0,0,0,0,0,2
0846,0,0,0,0,1,0,1,0,0,0,0,2
0847,0,0,1,0,0,0,0,0,0,0,0,1
0850,0,0,5,1,2,7,1,0,2,3,0,21
0852,0,1,0,2,1,4,0,1,0,1,0,10
0860,0,0,0,0,0,1,0,0,0,1,0,2
0870,15,8,10,10,6,9,2,3,8,15,0,86
0872,1,0,0,1,6,7,0,1,0,0,0,16
0873,2,3,1,2,4,3,0,0,0,3,0,18
0874,0,0,0,0,0,0,1,0,0,0,0,1
0875,0,1,1,0,0,1,0,0,1,1,0,5
0880,2,1,0,0,0,0,0,0,0,0,0,3
0886,0,0,0,0,0,1,0,0,0,0,0,1
1710,0,0,0,0,0,0,0,0,1,0,0,1
2000,0,1,0,0,1,0,1,0,0,0,0,3
2007,0,0,0,0,0,0,0,0,0,1,1,2
2008,2,0,0,2,0,4,1,0,2,3,1,15
2009,0,0,0,0,1,0,0,0,0,0,0,1
2010,4,3,4,5,0,3,1,3,6,4,1,34
2011,0,0,0,0,1,0,0,0,1,0,0,2
2015,9,4,3,3,5,8,5,5,12,5,2,61
2016,2,0,1,1,2,2,0,1,2,5,0,16
2017,0,0,0,2,1,0,2,1,1,1,0,8
2018,11,7,6,16,12,8,9,12,14,17,4,116
2019,13,8,8,7,9,21,6,8,16,16,2,114
2020,15,6,5,10,12,14,8,9,8,19,2,108
2021,9,3,0,3,10,5,5,2,2,8,1,48
2022,5,5,3,8,7,6,4,12,10,5,1,66
2023,4,7,7,4,8,15,2,8,14,17,2,88
2024,11,4,13,7,8,13,9,3,17,20,4,109
2025,2,1,3,1,3,4,1,3,4,6,0,28
2026,12,10,11,12,13,19,11,15,14,32,3,152
2027,3,1,2,2,2,2,1,0,1,5,0,19
2028,2,2,0,2,3,2,1,2,2,2,0,18
2029,3,5,6,5,9,7,2,1,12,13,0,63
2030,12,6,11,10,25,11,3,8,25,33,3,147
2031,28,11,18,16,18,25,14,17,27,37,7,218
2032,7,7,11,13,10,10,6,17,19,19,5,124
2033,5,6,7,5,10,6,3,7,13,17,2,81
2034,12,8,11,9,13,10,13,22,21,36,2,157
2035,32,28,26,25,31,35,27,38,57,71,14,384
2036,18,28,24,23,41,41,28,35,69,69,8,384
2037,10,3,6,7,11,8,7,7,6,14,4,83
2038,11,5,3,11,11,7,2,7,10,14,4,85
2039,5,6,2,3,8,8,2,6,4,10,3,57
2040,21,16,18,21,22,21,22,21,32,37,12,243
2041,12,7,9,14,13,12,10,7,17,22,5,128
2042,5,12,12,7,11,9,7,8,14,8,3,96
